date,ticker,open,high,low,close,volume
2019-04-29,MATIC,0.00441775409087,0.00449244293365,0.00347109862885,0.00347109862885,8267044.02
2019-04-30,MATIC,0.00346221160795,0.00507753660829,0.00345778595502,0.00447793166134,25072706.3
2019-05-01,MATIC,0.00444009719144,0.00467285267039,0.00407085046774,0.00437424722195,10567352.04
2019-05-02,MATIC,0.00436573209192,0.00469999361201,0.00409572536297,0.00419835775881,6714907.88
2019-05-03,MATIC,0.00419225899358,0.00439574472288,0.00395239823192,0.00425565988499,5702394.32
2019-05-04,MATIC,0.00425578116918,0.0042646022243,0.00381877096855,0.00396817523433,3178994.67
2019-05-05,MATIC,0.00396863310379,0.00406530599723,0.00357835909748,0.00374695100348,3467564.42
2019-05-06,MATIC,0.00374566816128,0.00393203713744,0.00352264037719,0.00376888159739,4689161.74
2019-05-07,MATIC,0.00376791025764,0.00385090695501,0.00334976288724,0.00336413776591,3805657.14
2019-05-08,MATIC,0.00334313396729,0.00348197993168,0.0032599865111,0.00335154674952,2938834.67
2019-05-09,MATIC,0.00335118669419,0.00338020819653,0.00301154729812,0.00314122626405,4588498.04
2019-05-10,MATIC,0.0031431216683,0.00388994986021,0.0030988401955,0.00377030960701,8654898.5
2019-05-11,MATIC,0.00377483994902,0.00494436212758,0.00373160799515,0.0046083276599,13370479.22
2019-05-12,MATIC,0.0046189876621,0.00570380736893,0.00444252216445,0.00527310616029,17955639.26
2019-05-13,MATIC,0.00527310616029,0.00917194126276,0.00512506996243,0.008667407773,74304041.06
2019-05-14,MATIC,0.00854812959357,0.0111459797,0.00725719268904,0.00775282637723,98051040.21
2019-05-15,MATIC,0.00773121744735,0.010022451,0.00710248244097,0.00951201163721,49168289.76
2019-05-16,MATIC,0.00954891493657,0.0119702105,0.0083460907575,0.010908847,59175167.94
2019-05-17,MATIC,0.0108625462,0.0150774997,0.00932916250567,0.0143527237,168390964.17
2019-05-18,MATIC,0.0143527237,0.0147986398,0.0120917382,0.0122934448,56628222.87
2019-05-19,MATIC,0.0123201489,0.0207489256,0.0123091422,0.0202305045,141440073.12
2019-05-20,MATIC,0.0202305045,0.0329109321,0.0192923744,0.0293425901,396597432.65
2019-05-21,MATIC,0.029349397,0.0450171528,0.0251491645,0.0294537228,698132267.78
2019-05-22,MATIC,0.0294537228,0.0316123948,0.0204166686,0.0221862639,266364855.11
2019-05-23,MATIC,0.0221862639,0.0338106988,0.0218743234,0.0272732424,419427515.77
2019-05-24,MATIC,0.0274288342,0.0285955462,0.0229593911,0.0253625017,150950421.76
2019-05-25,MATIC,0.0253625017,0.0283427907,0.0231340675,0.0250023211,148137222.22
2019-05-26,MATIC,0.0248878713,0.0273046192,0.0230409661,0.0243990171,95970365.5
2019-05-27,MATIC,0.0243864846,0.024906116,0.0209352016,0.0221732909,81723336.85
2019-05-28,MATIC,0.0222515465,0.0251021013,0.0210330575,0.0236421929,93128408.09
2019-05-29,MATIC,0.0236421929,0.0248205853,0.0221031858,0.0221083779,56456075.04
2019-05-30,MATIC,0.0221083779,0.0232762091,0.0186826447,0.0197932268,53390395.22
2019-05-31,MATIC,0.0197932268,0.0229619665,0.0194653055,0.022288376,58953725.21
2019-06-01,MATIC,0.0222004898,0.0228747071,0.0206887781,0.0210594724,56083345.22
2019-06-02,MATIC,0.0210594724,0.022191736,0.019684659,0.0201137606,34962105.69
2019-06-03,MATIC,0.0201137606,0.0209531887,0.018843971,0.0191132838,32081991.12
2019-06-04,MATIC,0.0191676145,0.0218395285,0.0180272287,0.0212279117,74180050.8
2019-06-05,MATIC,0.0213067428,0.0234830835,0.0196896983,0.0228621275,97965656.45
2019-06-06,MATIC,0.0228389344,0.0251073245,0.0217260879,0.0237265418,97713487.03
2019-06-07,MATIC,0.0236765556,0.0249178929,0.0224880617,0.0245092515,44071889.79
2019-06-08,MATIC,0.0244133529,0.0265908732,0.0234431245,0.0259062832,64435870.16
2019-06-09,MATIC,0.0258759875,0.0275839273,0.0246180628,0.0254987733,73046407.72
2019-06-10,MATIC,0.0254667357,0.0274727594,0.0239799974,0.0269748742,60877106.96
2019-06-11,MATIC,0.0269873133,0.0271370787,0.0235336426,0.0237639163,51200991.02
2019-06-12,MATIC,0.0238119091,0.0252719646,0.023003517,0.023216682,52476409.56
2019-06-13,MATIC,0.0229431081,0.0246701896,0.022237283,0.0231071754,63319867.16
2019-06-14,MATIC,0.0231822582,0.0233151294,0.0193227866,0.0206457157,49012104.65
2019-06-15,MATIC,0.0206862277,0.023037187,0.0206736064,0.0218987124,45335050.98
2019-06-16,MATIC,0.0218987124,0.0228093959,0.0207207404,0.0227160168,44493232.49
2019-06-17,MATIC,0.0226468597,0.0239024139,0.0213345319,0.0217508242,43265637.48
2019-06-18,MATIC,0.0217672786,0.0228964361,0.021310452,0.0224488261,41126018.7
2019-06-19,MATIC,0.0224620332,0.0243869686,0.0224056362,0.0230879879,58808814.61
2019-06-20,MATIC,0.0230538831,0.0237962532,0.0216962037,0.0224459168,39914360.47
2019-06-21,MATIC,0.0224452573,0.0233790689,0.0207479317,0.0212257722,46822448.47
2019-06-22,MATIC,0.0211702735,0.022701869,0.0205035262,0.0218425553,68831297.25
